property_type,rooms,parking,bathroom,size,region,monthly_rent(RM),Gymnasium,Lift,Minimart,Sauna,Security,Swimming Pool
Condominium,3.0,1,2,820.0,Kuala Lumpur,1100.0,0,0,1,0,0,0
Condominium,3.0,1,2,890.0,Kuala Lumpur,900.0,0,0,0,0,0,0
Apartment,3.0,1,2,1006.0,Kuala Lumpur,1200.0,0,0,0,0,0,0
Condominium,3.0,1,2,1018.0,Kuala Lumpur,2000.0,0,0,1,0,0,0
Service Residence,2.0,1,1,726.0,Kuala Lumpur,1700.0,1,0,0,0,0,0
Apartment,3.0,1,2,850.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Flat,3.0,1,1,750.0,Kuala Lumpur,1200.0,0,0,0,0,0,0
Flat,2.0,1,1,520.0,Kuala Lumpur,1200.0,0,0,0,0,0,0
Apartment,3.0,1,2,1070.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Service Residence,3.0,1,2,850.0,Kuala Lumpur,2500.0,0,0,0,0,0,0
Flat,2.0,2,1,580.0,Kuala Lumpur,750.0,0,0,0,0,0,0
Apartment,1.0,1,1,450.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
Condominium,3.0,1,2,900.0,Kuala Lumpur,1200.0,0,0,0,0,0,0
Service Residence,1.0,1,1,560.0,Kuala Lumpur,2100.0,0,0,0,0,0,0
Condominium,3.0,2,2,1010.0,Kuala Lumpur,1400.0,0,0,0,0,1,0
Condominium,4.0,2,3,1268.0,Kuala Lumpur,3000.0,0,0,0,0,0,0
Condominium,3.0,2,2,865.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Service Residence,3.0,2,2,932.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Flat,2.0,1,1,568.0,Kuala Lumpur,650.0,0,0,0,0,0,0
Service Residence,3.0,1,2,1095.0,Kuala Lumpur,1350.0,0,0,0,0,0,0
Condominium,3.0,1,2,900.0,Kuala Lumpur,1599.0,0,0,0,0,0,0
Service Residence,3.0,1,2,1290.0,Kuala Lumpur,1880.0,0,0,1,0,0,0
Condominium,3.0,2,3,1298.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Condominium,4.0,2,3,1492.0,Kuala Lumpur,2000.0,0,0,1,0,0,0
Condominium,3.0,2,3,1610.0,Kuala Lumpur,2800.0,0,0,1,0,0,0
Service Residence,3.0,1,2,1105.0,Kuala Lumpur,1800.0,0,0,0,0,0,0
Apartment,4.0,1,2,1200.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Apartment,3.0,1,2,1200.0,Kuala Lumpur,1800.0,0,0,0,0,0,1
Condominium,4.0,1,2,1142.0,Kuala Lumpur,1800.0,0,0,1,0,0,0
Apartment,3.0,1,1,874.0,Kuala Lumpur,1500.0,0,0,0,0,0,0
Apartment,3.0,1,2,850.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Condominium,3.0,2,2,975.0,Kuala Lumpur,1200.0,0,0,0,0,1,0
Apartment,3.0,1,1,700.0,Kuala Lumpur,600.0,0,0,0,0,1,0
Service Residence,2.0,1,1,700.0,Kuala Lumpur,1499.0,0,0,1,0,0,0
Apartment,3.0,1,2,900.0,Kuala Lumpur,1300.0,0,0,1,0,0,0
Apartment,3.0,1,2,900.0,Kuala Lumpur,1000.0,0,0,0,0,0,0
Service Residence,2.0,2,2,650.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Flat,3.0,1,2,650.0,Kuala Lumpur,900.0,0,0,0,0,0,0
Flat,3.0,1,2,680.0,Kuala Lumpur,900.0,0,0,0,0,0,0
Apartment,3.0,2,2,1000.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Flat,3.0,1,2,700.0,Kuala Lumpur,1000.0,0,0,0,0,0,0
Condominium,3.0,1,2,900.0,Kuala Lumpur,1550.0,0,0,0,0,0,0
Condominium,4.0,2,3,1118.0,Kuala Lumpur,3300.0,0,0,0,0,0,1
Service Residence,2.0,1,1,805.0,Kuala Lumpur,2600.0,0,0,0,0,0,0
Duplex,1.0,1,1,775.0,Kuala Lumpur,1400.0,0,0,0,0,0,0
Condominium,3.0,1,2,1300.0,Kuala Lumpur,1700.0,0,0,0,0,0,0
Service Residence,2.0,1,2,804.0,Kuala Lumpur,1800.0,0,0,0,0,0,1
Apartment,2.0,1,1,570.0,Kuala Lumpur,850.0,0,0,0,0,0,0
Apartment,4.0,1,2,1434.0,Kuala Lumpur,1300.0,0,0,0,0,0,0
Apartment,3.0,1,2,850.0,Kuala Lumpur,1200.0,0,0,0,0,0,0
