,facility1,facility2,facility3,facility4,facility5,facility6,facility7,facility8,facility9,facility10,facility11,facility12,facility13,facility14,facility15,facility16,facility17,facility18,facility19,facility20,facility21
127,127,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
128,128,Barbeque area, Swimming Pool, Security, Playground, Gymnasium, Parking, Lift, Jogging Track,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT,na,na,na
129,129,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart, Club house,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
130,130,Parking, Playground, Swimming Pool, Squash Court, Gymnasium,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
131,131,Sauna, Parking, Swimming Pool, Playground, Club house, Security, Minimart, Gymnasium, Barbeque area,na,na,na,na,na,unknown,na,na,na,na,na
132,132,Jogging Track, Security, Swimming Pool, Tennis Court, Lift, Multipurpose hall, Parking, Minimart, Playground, Barbeque area, Gymnasium,na,na,na,Air-Cond, Cooking Allowed,na,na,na,na
133,133,Gymnasium, Parking, Playground, Security, Minimart, Squash Court, Lift, Swimming Pool, Tennis Court, Jogging Track,na,na,na,na,Air-Cond,na,na,na,na,na
134,134,Parking, Minimart, Security, Lift, Swimming Pool, Gymnasium,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
135,135,Security, Playground, Swimming Pool, Parking,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
136,136,Playground, Parking, Security, Lift,na,na,na,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
137,137,Parking, Security, Swimming Pool, Playground, Gymnasium, Lift, Minimart, Club house,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
138,138,Parking, Swimming Pool, Playground, Gymnasium, Security, Lift, Barbeque area, Multipurpose hall, Jogging Track,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Near KTM/LRT,na,na
139,139,Parking, Security, Lift, Playground, Barbeque area, Multipurpose hall, Minimart, Jogging Track, Swimming Pool, Gymnasium,na,na,na,na,Cooking Allowed, Near KTM/LRT, Washing Machine, Air-Cond,na,na
140,140,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall,na,na,na,na,na,na,na,Cooking Allowed, Washing Machine,na,na,na,na
141,141,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
142,142,Minimart,na,na,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT,na,na,na,na
143,143,Parking, Gymnasium, Security, Lift, Swimming Pool, Multipurpose hall,na,na,na,na,na,na,na,na,Cooking Allowed, Near KTM/LRT, Washing Machine,na,na,na
144,144,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,Cooking Allowed, Washing Machine, Near KTM/LRT,na,na,na
145,145,Parking, Playground, Swimming Pool, Jogging Track, Barbeque area, Lift, Security, Tennis Court, Multipurpose hall, Gymnasium,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
146,146,Parking,na,na,na,na,na,na,na,na,na,na,na,na,na,Near KTM/LRT,na,na,na,na,na
147,147,Security, Minimart, Jogging Track, Parking, Swimming Pool, Lift, Playground,na,na,na,na,na,na,na,Cooking Allowed,na,na,na,na,na
148,148,unknown,na,na,na,na,na,na,na,na,na,na,na,na,na,unknown,na,na,na,na,na
149,149,Security, Minimart, Playground, Squash Court, Jogging Track, Lift, Parking, Swimming Pool, Tennis Court, Gymnasium,na,na,na,na,unknown,na,na,na,na,na
150,150,Parking, Security,na,na,na,na,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
151,151,Security, Minimart, Swimming Pool, Squash Court, Lift, Parking, Playground, Gymnasium, Barbeque area, Sauna, Multipurpose hall,na,na,na,Cooking Allowed, Air-Cond, Near KTM/LRT, Washing Machine, Internet,na
152,152,Playground, Barbeque area, Parking, Security, Swimming Pool, Tennis Court, Lift, Gymnasium, Sauna, Multipurpose hall,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine, Internet,na,na
153,153,Parking, Security, Lift, Swimming Pool, Playground, Gymnasium,na,na,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Washing Machine,na,na,na
154,154,Swimming Pool, Gymnasium, Barbeque area, Security, Playground, Lift, Jogging Track, Parking,na,na,na,na,na,na,Air-Cond, Cooking Allowed, Near KTM/LRT, Washing Machine,na,na
